211.151.144.188:80@HTTP#北京市 世纪互联BGP数据中心
115.220.150.170:808@HTTP#浙江省宁波市 电信
123.56.240.96:3128@HTTP#北京市 阿里云BGP数据中心
122.70.141.42:80@HTTP#北京市 铁通
203.80.144.64:80@HTTP#福建省 铁通
182.87.164.11:8998@HTTP#江西省萍乡市 电信
202.105.131.236:80@HTTP#广东省深圳市 电信
221.204.100.153:9797@HTTP#山西省太原市 联通
153.36.10.126:808@HTTP#江苏省徐州市 联通
124.65.238.166:80@HTTP#北京市 联通
219.246.184.153:80@HTTP#甘肃省兰州市 兰州大学(榆中校区)
139.227.171.87:8123@HTTP#上海市 联通
210.14.135.23:80@HTTP#北京市朝阳区 北京数据家科技有限公司(北苑路170号凯旋城C座26层)
120.26.168.125:3128@HTTP#浙江省杭州市 阿里云BGP数据中心
115.220.148.84:808@HTTP#浙江省宁波市 电信
113.5.80.109:8080@HTTP#黑龙江省七台河市 联通
120.132.3.26:8080@HTTP#北京市 联通
210.177.124.182:80@HTTP#香港 电讯盈科有限公司
222.29.65.236:8123@HTTP#北京市 北京大学(燕园主校区)
121.22.252.39:80@HTTP#河北省秦皇岛市 联通
175.155.24.59:808@HTTP#四川省泸州市 联通
117.28.242.189:80@HTTP#福建省福州市 电信
14.109.106.185:8998@HTTP#重庆市 电信
121.40.108.76:80@HTTP#浙江省杭州市 阿里云BGP数据中心
60.13.38.64:80@HTTP#甘肃省天水市 联通
211.103.153.167:80@HTTP#北京市 电信通三元桥IDC机房
210.14.135.15:80@HTTP#北京市朝阳区 北京数据家科技有限公司(北苑路170号凯旋城C座26层)
125.106.227.228:808@HTTP#浙江省衢州市 电信
122.96.51.151:3128@HTTP#江苏省常州市 联通
112.33.7.9:8081@HTTP#江苏省 移动
211.142.22.89:80@HTTP#山西省太原市 移动
1.62.68.91:8998@HTTP#黑龙江省哈尔滨市延寿县 联通
27.148.151.79:80@HTTP#福建省福州市
211.21.92.18:80@HTTP#台湾省 中华电信(HiNet)
118.79.17.179:8998@HTTP#山西省忻州市 联通
171.13.37.152:808@HTTP#河南省郑州市 电信
123.158.6.181:8998@HTTP#浙江省台州市 联通
101.227.67.157:1080@HTTP#上海市 电信
36.42.32.31:8080@HTTP#陕西省宝鸡市 网宿科技股份有限公司电信CDN节点
1.62.51.233:8998@HTTP#黑龙江省哈尔滨市延寿县 联通
59.62.164.205:808@HTTP#江西省宜春市 电信
122.226.62.90:3128@HTTP#浙江省金华市 电信
110.73.6.75:8123@HTTP#广西防城港市 联通
121.226.161.174:808@HTTP#江苏省 电信
1.169.212.27:8088@HTTP#台湾省 中华电信(HiNet)数据中心
117.169.17.99:80@HTTP#江西省赣州市 网宿科技移动CDN节点
210.184.110.168:80@HTTP#香港 柴湾互联优势有限公司
115.220.4.255:808@HTTP#浙江省宁波市 电信
58.248.30.92:80@HTTP#广东省广州市 联通
120.26.48.77:80@HTTP#浙江省杭州市 阿里云BGP数据中心
203.156.196.155:80@HTTP#上海市 上海电信科技发展有限公司(中山南路111号)
120.34.45.8:808@HTTP#福建省漳州市 电信
122.225.51.165:3128@HTTP#浙江省嘉兴市 电信
39.77.59.151:8118@HTTP#山东省 联通
125.89.121.68:808@HTTP#广东省河源市 电信
210.75.19.114:80@HTTP#台湾省 HiNet
210.177.71.28:80@HTTP#香港 电讯盈科有限公司
110.73.9.49:8123@HTTP#广西防城港市 联通
124.89.35.206:9999@HTTP#陕西省渭南市 联通
36.42.32.98:8080@HTTP#陕西省宝鸡市 网宿科技股份有限公司电信CDN节点
119.186.84.51:8998@HTTP#山东省日照市 联通
111.1.3.34:8000@HTTP#浙江省宁波市 移动
211.94.114.43:80@HTTP#北京市 联通(数字北京大厦IDC机房)
175.155.24.37:808@HTTP#四川省泸州市 联通
123.148.83.74:8998@HTTP#浙江省丽水市 联通
119.167.38.209:8998@HTTP#山东省青岛市 联通
182.90.57.172:8123@HTTP#广西梧州市 联通
114.99.22.129:808@HTTP#安徽省安庆市 电信
211.136.182.154:80@HTTP#上海市 移动
110.246.19.80:8998@HTTP#河北省邢台市 联通
210.242.76.199:80@HTTP#台湾省 中华电信(HiNet)
122.189.19.182:8998@HTTP#湖北省恩施州 联通
221.224.91.28:80@HTTP#江苏省苏州市 电信
219.154.104.202:9000@HTTP#河南省开封市 联通机房
210.242.211.211:80@HTTP#台湾省 中华电信(HiNet)
125.31.19.27:80@HTTP#澳门 特别行政区
36.249.27.20:808@HTTP#福建省泉州市 联通
36.25.34.17:808@HTTP#浙江省 电信
125.122.61.202:808@HTTP#浙江省杭州市余杭区 电信
113.93.186.73:808@HTTP#广东省江门市 电信
171.13.37.160:808@HTTP#河南省郑州市 电信
119.5.1.51:808@HTTP#四川省南充市 联通
202.118.10.115:80@HTTP#辽宁省沈阳市 东北大学图书馆
117.86.162.116:8998@HTTP#江苏省南通市启东市 电信
171.38.174.142:8123@HTTP#广西钦州市 联通
122.245.68.234:808@HTTP#浙江省宁波市 电信
115.213.162.222:808@HTTP#浙江省丽水市 电信
111.13.100.103:80@HTTP#北京市 北京百度网讯科技有限公司移动节点
121.22.252.92:8000@HTTP#河北省秦皇岛市 联通
27.148.151.73:80@HTTP#福建省福州市
60.183.220.35:808@HTTP#浙江省绍兴市诸暨市 电信
59.38.225.167:8998@HTTP#广东省佛山市顺德区 电信
211.21.14.67:80@HTTP#台湾省 中华电信(HiNet)
210.14.135.22:80@HTTP#北京市朝阳区 北京数据家科技有限公司(北苑路170号凯旋城C座26层)
1.62.64.58:8998@HTTP#黑龙江省哈尔滨市 联通
60.191.164.226:3128@HTTP#浙江省台州市 电信
222.92.141.250:80@HTTP#江苏省苏州市 电信
60.23.171.117:8998@HTTP#辽宁省朝阳市 联通
113.5.80.108:8080@HTTP#黑龙江省七台河市 联通
113.5.80.93:8080@HTTP#黑龙江省七台河市 联通
